,name,value,value,value,value,value,value,value,value,value
region,name,2009,2010,2011,2012,2013,2014,2015,2016,2017
eID,,,,,,,,,,
re_1515,Nordrhein-Westfalen,8815512,8896383,9016882,9143732,9250163,9336100,9454895,9610176,9599372
re_1516,Baden-Wrttemberg,5660549,5713966,5782349,5889690,5978864,6055901,6152072,6259564,6331111
re_1517,Hessen,3241615,3276203,3321254,3368102,3408156,3432598,3472789,3525614,3544935
re_1518,Bremen,259095,260880,264666,269482,272768,275398,278962,283081,284807
re_1519,Thringen,1145404,1150859,1156257,1159655,1160636,1159497,1161184,1164781,1158595
re_1520,Hamburg,710866,714705,724897,729955,736936,740000,747542,757909,760715
re_2331,Rheinland-Pfalz,2194167,2222683,2255061,2288449,2316709,2338889,2368706,2403779,2416986
re_2332,Saarland,575011,581755,586279,593750,598380,601912,606642,613413,616261
re_2333,Bayern,6768260,6857583,6949250,7101882,7202244,7294499,7404869,7521221,7595103
re_2334,Berlin,1086669,1103691,1117663,1132274,1144863,1147726,1157275,1168519,1165894
re_2335,Sachsen-Anhalt,1179988,1184344,1188835,1190564,1188791,1186139,1187248,1190692,1183170
re_2336,Sachsen,2047756,2059211,2069825,2078381,2080193,2081675,2088061,2099651,2091869
re_3312,Mecklenburg-Vorpommern,801339,809181,815158,818638,819453,819692,823913,830507,829308
re_3562,Brandenburg,1294596,1307642,1319415,1328691,1334369,1339835,1349096,1364708,1363238
re_6321,Niedersachsen,4056464,4107934,4171645,4251168,4314744,4375240,4440819,4516245,4514491
re_942,Schleswig-Holstein,1431507,1451535,1474315,1497821,1515595,1531893,1552011,1579223,1591194
