year,totalWorld,totalGermany,greenWorld,greenGermany,salesWorld,salesGermany,salesGW,salesGG,expWorld,expWorldGreen,expGer,expGerGreen,expWorldBrown
2005,868896359,45375000,684,0,62665125.4708645,3342122,20,0,2146234721,550,3342122,0,2146234631
2006,898974906,46900000,684,0,64834401,3467961,27.36,0,2211069122,750,6810083,0,2211069005
2007,929560729,46569000,684,0,66544819,3148163,27.36,0,2277613941,1000,9958246,0,2277613796.88
2008,961774352,41183000,2358,0,69396052,3090040,1701.36,0,2347009993,1846.08,13048286,0,2347008147.68
2009,990970729,43486628,3690,5,67667351,3950948,1426.32,5,2414677344,3272.4,16999234,5,2414674072.45
2010,1012187292,43837341,33385,389,60855392,2090178.12,29842.6,384.2,2475532736,33115,19089412.12,389.2,2475499622.4979
2011,1047339581,44404723,131058,2584,75639780,2320875.64,99008.4,2210.56,2551172516,132123.4,21410287.76,2599.76,2551040394.4653
2012,1087490266,45100856,370199,9099,82044269,2472321.92,244383.32,6618.36,2633216785,376506.72,23882609.68,9218.12,2632840279.3194
2013,1131668738,46300468,848229,22630,87678083,3003646.24,492837.96,13894.96,2720894868,869344.68,26886255.92,23113.08,2720025524.0581
2014,1175265857,46924014,1673600,43620,88863868,2475564.72,859300.16,21895.2,2809758736,1728644.84,29361820.64,45008.28,2808030092.209
2015,1221568086,47408308,3033932,81590,93312864,2361254.56,1427276,39714.8,2903071600,3155920.84,31723075.2,84723.08,2899915680.0138
2016,1296800459,48983416,5269711,148635,124095096,3471440.32,2357136.28,70308.6,3027166696,5513057.12,35194515.52,155031.68,3021653639.9697
2017,1382217126,50731501,8672977,243518,137288685,3707421.64,3614054.44,100828.4,3164455381,9127111.56,38901937.16,255860.08,3155328270.2042
2018,1471752280,52307487,13535779,370485,144823839,3605246.04,5209721.08,136707.72,3309279220,14336832.64,42507183.2,392567.8,3294942388.4134
2019,1567404397,53744099,20202923,532658,154522208,3528911.48,7208575.16,176992.4,3463801428,21545407.8,46036094.68,569560.2,3442256021.8708
2020,1670514201,55053645,29076160,732556,165805979,3459309.96,9681353.92,221204.32,3629607407,31226761.72,49495404.64,790764.52,3598380646.6927
2021,1781873375,56246081,40200483,969501,178179742,3394581.8,12287369.4,266247.24,3807787149,43514131.12,52889986.44,1057011.76,3764273020.4862
2022,1900507124,57315437,53388478,1242046,189908684,3319199.24,14796014.32,311325.04,3997695833,58310145.44,56209185.68,1368336.8,3939385690.4498
2023,2021301389,58276379,69143262,1553319,196814550,3253559.48,17890323.12,360954.84,4194510383,76200468.56,59462745.16,1729291.64,4118309917.5093
2024,2142902851,59141844,87634504,1903428,202453518,3196520.16,21256972.48,412241.76,4396963901,97457441.04,62659265.32,2141533.4,4299506461.8317
2025,2265564375,59920666,109034906,2293355,208377638,3144495.76000001,24905782.16,466064.12,4605341539,122363223.2,65803761.08,2607597.52,4482978317.2626
2026,2429293859,60943986,184188300.695,2585056.8,254352059,3420146.64,79514790.935,383436,4859693598,201878014.135,69223907.72,2991033.52,4657815585.5956
2027,2586082616,61539336,256824166.528,2915965.8,253960511,3033109.44000001,80003397.8608,434311.272,5113654109,281881411.9958,72257017.16,3425344.792,4831772699.1668
2028,2752990657,61957671,358104463.007,3246874.8,270351346,2879908.44000001,111553263.14012,447547.632,5384005455,393434675.13592,75136925.6,3872892.424,4990570781.69188
2029,2930671089,62173662,499325309.449,3577783.8,287800059,2694297.84,155545024.96228,460783.992,5671805514,548979700.0982,77831223.44,4333676.416,5122825815.446
2030,3119819173,62159447,696237523.997,3908692.8,306374927,2472731.48,216885226.92596,474020.352,5978180441,765864927.02416,80303954.92,4807696.768,5212315515.53404
2031,3321175040,61884411,970803363.355,4239601.8,326148634,2211341.88,302415340.31788,487256.712,6304329075,1068280267.34204,82515296.8,5294953.48,5236048808.83776
2032,3535526591,61314947,1353646044.37,4570510.8,347198553,1905912.44000001,421674815.5492,500493.072,6651527628,1489955082.89124,84421209.24,5795446.552,5236048808.83776
2033,3763712579,60414194,1887465250.54,4901419.8,369607052,1551844.88,587965047.9448,513729.432,7021134680,2077920130.83604,85973054.12,6309175.984,5236048808.83776
2034,4006625891,59141761,2631799565.94,5232328.8,393461815,1144134.76000001,819832925.4216,526965.792,7414596495,2897753056.25764,87117188.88,6836141.776,5236048808.83776
2035,4265217041,57453424,3669667006.2,5563237.8,418856186,677333.440000005,1143139422.8976,540202.152,7833452681,4040892479.15524,87794522.32,7376343.928,5236048808.83776
